name = R Dorados - Gaussisk

# date  RA  RA_error  Dec Dec_error
2023.748  04:36:45.360353  0.00035  -62:4:39.568208  0.00250
2023.756  04:36:45.361356  0.00035  -62:4:39.568470  0.00250
2023.756  04:36:45.360046  0.00035  -62:4:39.566065  0.00250
2023.762  04:36:45.361575  0.00035  -62:4:39.553663  0.00250
2023.762  04:36:45.360177  0.00035  -62:4:39.561675  0.00250
2023.770  04:36:45.361113  0.00035  -62:4:39.565165  0.00250
2023.770  04:36:45.360366  0.00035  -62:4:39.560886  0.00250
2023.778  04:36:45.360391  0.00035  -62:4:39.533399  0.00250
2023.781  04:36:45.360898  0.00035  -62:4:39.563869  0.00250
2023.838  04:36:45.359264  0.00035  -62:4:39.574703  0.00250
2023.841  04:36:45.359000  0.00035  -62:4:39.564721  0.00250
