name = Mira - Gauss

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m11.9489586050150365s  0d00m00.0000000676376368s  -2d58m43.7429445935042338s  0d00m00.0000000676376368s
2017.724  34d50m11.9515282227496300s  0d00m00.0000002435375583s  -2d58m43.7466807668508295s  0d00m00.0000002435375582s
2017.855  34d50m11.9474915640495283s  0d00m00.0000002130735717s  -2d58m43.7833745765665583s  0d00m00.0000002130735717s
2019.464  34d50m11.9641186491918461s  0d00m00.0000000222777850s  -2d58m44.1561918911128259s  0d00m00.0000000222777850s
2021.716  34d50m11.9769355380924480s  0d00m00.0000000327480494s  -2d58m44.6993877952992591s  0d00m00.0000000327480494s
2021.718  34d50m11.9761034881179285s  0d00m00.0000000344078050s  -2d58m44.7001604837072364s  0d00m00.0000000344078050s
2021.721  34d50m11.9782646853934693s  0d00m00.0000001080539777s  -2d58m44.6996428742750140s  0d00m00.0000001080539777s
2021.727  34d50m11.9777396718376394s  0d00m00.0000000384209364s  -2d58m44.7026041047213596s  0d00m00.0000000384209364s
2023.484  34d50m11.9932931149662636s  0d00m00.0000016621351517s  -2d58m45.1193638693482058s  0d00m00.0000016621351518s
2023.495  34d50m11.9932028020571124s  0d00m00.0000022444528792s  -2d58m45.1229055580134286s  0d00m00.0000022444528793s
2023.530  34d50m11.9940587273845267s  0d00m00.0000000346804871s  -2d58m45.1295514517960328s  0d00m00.0000000346804871s
2023.533  34d50m11.9908636215086517s  0d00m00.0000003162444595s  -2d58m45.1314108872577435s  0d00m00.0000003162444596s
2023.552  34d50m11.9920669299631300s  0d00m00.0000002612589860s  -2d58m45.1360938398835287s  0d00m00.0000002612589860s
2023.626  34d50m11.9956502572364343s  0d00m00.0000000578682380s  -2d58m45.1567758949025233s  0d00m00.0000000578682380s
2025.606  34d50m12.0109793910131657s  0d00m00.0000000870594093s  -2d58m45.6275276688614895s  0d00m00.0000000870594094s
