name = R_Dor - TrapezoidDisk

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3163881349623807s  0d00m00.0010647191029338s  -62d04m39.0999472176338259s  0d00m00.0010798137112079s
2017.735  69d11m21.3131703312365062s  0d00m00.0010639115594353s  -62d04m39.1029532577226746s  0d00m00.0010788244827196s
2017.812  69d11m21.2890162700853125s  0d00m00.0010002897088933s  -62d04m39.1213468272189857s  0d00m00.0010003598776629s
2017.855  69d11m21.2778725316093187s  0d00m00.0011118225872225s  -62d04m39.1254457373838704s  0d00m00.0011372581761124s
2023.568  69d11m20.4500672334825140s  0d00m00.0014694498228244s  -62d04m39.5193027254441631s  0d00m00.0015620825402280s
2023.585  69d11m20.4558278751869693s  0d00m00.0011633313695212s  -62d04m39.5190405585799454s  0d00m00.0011995546036767s
2023.626  69d11m20.4482412228310295s  0d00m00.0010021084966471s  -62d04m39.5336383539364533s  0d00m00.0010026185812053s
2023.749  69d11m20.4115551513064020s  0d00m00.0023718967599865s  -62d04m39.5672347116322953s  0d00m00.0025973918362464s
2023.757  69d11m20.4153422010074337s  0d00m00.0021284984662995s  -62d04m39.5687079036326850s  0d00m00.0023207143879209s
2023.757  69d11m20.4033175296240188s  0d00m00.0015987180404447s  -62d04m39.5657225167957449s  0d00m00.0017125394647221s
2023.763  69d11m20.4198100466976484s  0d00m00.0030466428198554s  -62d04m39.5546533214434248s  0d00m00.0033597955884743s
2023.771  69d11m20.4175339107075615s  0d00m00.0013634181846140s  -62d04m39.5650430739385683s  0d00m00.0014376948382811s
2023.771  69d11m20.4083624701149802s  0d00m00.0024004569616650s  -62d04m39.5591216922559852s  0d00m00.0026297833362936s
2023.782  69d11m20.4112779598142424s  0d00m00.0020550150917480s  -62d04m39.5638756151305415s  0d00m00.0022369240644796s
2023.839  69d11m20.3890266329915448s  0d00m00.0022050851884698s  -62d04m39.5725687871112086s  0d00m00.0024079047736103s
2023.842  69d11m20.3851318141369120s  0d00m00.0029932381227885s  -62d04m39.5668847534386714s  0d00m00.0032996257179762s
