name = R_Dor - TrapezoidDisk

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3163881349623807s  0d00m00.0003655499529899s  -62d04m39.0999472176338259s  0d00m00.0004074280929611s
2017.735  69d11m21.3131703312365062s  0d00m00.0003631911429266s  -62d04m39.1029532577226746s  0d00m00.0004047990421372s
2017.812  69d11m21.2890162700853125s  0d00m00.0000240728419156s  -62d04m39.1213468272189857s  0d00m00.0000268306697219s
2017.855  69d11m21.2778725316093187s  0d00m00.0004859521225976s  -62d04m39.1254457373838704s  0d00m00.0005416236323644s
2023.568  69d11m20.4500672334825140s  0d00m00.0010766999497529s  -62d04m39.5193027254441631s  0d00m00.0012000424419519s
2023.585  69d11m20.4558278751869693s  0d00m00.0005944239861516s  -62d04m39.5190405585799454s  0d00m00.0006625188655441s
2023.626  69d11m20.4482412228310295s  0d00m00.0000649726023199s  -62d04m39.5336383539364533s  0d00m00.0000724156017599s
2023.749  69d11m20.4115551513064020s  0d00m00.0021507892132736s  -62d04m39.5672347116322953s  0d00m00.0023971742429578s
2023.757  69d11m20.4153422010074337s  0d00m00.0018789640020450s  -62d04m39.5687079036326850s  0d00m00.0020942099394193s
2023.757  69d11m20.4033175296240188s  0d00m00.0012473569548363s  -62d04m39.5657225167957449s  0d00m00.0013902486893703s
2023.763  69d11m20.4198100466976484s  0d00m00.0028778520586995s  -62d04m39.5546533214434248s  0d00m00.0032075265230933s
2023.771  69d11m20.4175339107075615s  0d00m00.0009267735139230s  -62d04m39.5650430739385683s  0d00m00.0010329406798296s
2023.771  69d11m20.4083624701149802s  0d00m00.0021822450880996s  -62d04m39.5591216922559852s  0d00m00.0024322336228493s
2023.782  69d11m20.4112779598142424s  0d00m00.0017952958049757s  -62d04m39.5638756151305415s  0d00m00.0020009570885445s
2023.839  69d11m20.3890266329915448s  0d00m00.0019652991346361s  -62d04m39.5725687871112086s  0d00m00.0021904349793095s
2023.842  69d11m20.3851318141369120s  0d00m00.0028212540576812s  -62d04m39.5668847534386714s  0d00m00.0031444442880201s
